[2020-04-24 04:35:31]: Path: save/1587717331/ is created
[2020-04-24 04:35:58]: Start train process.
[2020-04-24 05:33:51]: | epoch   8 |   600/ 4351 batches | rec loss 0.5726 | dis loss 0.4152 |
[2020-04-24 05:34:11]: | epoch   8 |   800/ 4351 batches | rec loss 0.5899 | dis loss 0.4168 |
[2020-04-24 05:34:30]: | epoch   8 |  1000/ 4351 batches | rec loss 0.5501 | dis loss 0.5488 |
[2020-04-24 05:34:50]: | epoch   8 |  1200/ 4351 batches | rec loss 0.5968 | dis loss 0.4238 |
[2020-04-24 05:35:09]: | epoch   8 |  1400/ 4351 batches | rec loss 0.4979 | dis loss 0.3723 |
[2020-04-24 05:35:29]: | epoch   8 |  1600/ 4351 batches | rec loss 0.5495 | dis loss 0.4203 |
[2020-04-24 05:35:49]: | epoch   8 |  1800/ 4351 batches | rec loss 0.5375 | dis loss 0.4089 |
[2020-04-24 05:36:08]: | epoch   8 |  2000/ 4351 batches | rec loss 0.5759 | dis loss 0.4970 |
[2020-04-24 05:36:28]: | epoch   8 |  2200/ 4351 batches | rec loss 0.5328 | dis loss 0.4139 |
[2020-04-24 05:36:47]: | epoch   8 |  2400/ 4351 batches | rec loss 0.5792 | dis loss 0.4303 |
[2020-04-24 05:37:07]: | epoch   8 |  2600/ 4351 batches | rec loss 0.5779 | dis loss 0.4766 |
[2020-04-24 05:37:27]: | epoch   8 |  2800/ 4351 batches | rec loss 0.5843 | dis loss 0.5249 |
[2020-04-24 05:37:46]: | epoch   8 |  3000/ 4351 batches | rec loss 0.5249 | dis loss 0.4508 |
[2020-04-24 05:38:06]: | epoch   8 |  3200/ 4351 batches | rec loss 0.5739 | dis loss 0.4586 |
[2020-04-24 05:38:25]: | epoch   8 |  3400/ 4351 batches | rec loss 0.5601 | dis loss 0.4617 |
[2020-04-24 05:38:45]: | epoch   8 |  3600/ 4351 batches | rec loss 0.5104 | dis loss 0.4610 |
[2020-04-24 05:39:05]: | epoch   8 |  3800/ 4351 batches | rec loss 0.5662 | dis loss 0.3984 |
[2020-04-24 05:39:25]: | epoch   8 |  4000/ 4351 batches | rec loss 0.6252 | dis loss 0.4380 |
[2020-04-24 05:39:44]: | epoch   8 |  4200/ 4351 batches | rec loss 0.5388 | dis loss 0.5268 |
[2020-04-24 05:39:59]: | end of epoch   8 | time: 426.59s |
[2020-04-24 05:40:00]: | epoch   9 |     0/ 4351 batches | rec loss 0.5852 | dis loss 0.4431 |
[2020-04-24 05:40:19]: | epoch   9 |   200/ 4351 batches | rec loss 0.5331 | dis loss 0.4403 |
[2020-04-24 05:40:39]: | epoch   9 |   400/ 4351 batches | rec loss 0.5574 | dis loss 0.4483 |
[2020-04-24 05:40:58]: | epoch   9 |   600/ 4351 batches | rec loss 0.5702 | dis loss 0.4228 |
[2020-04-24 05:41:19]: | epoch   9 |   800/ 4351 batches | rec loss 0.5834 | dis loss 0.4482 |
[2020-04-24 05:41:39]: | epoch   9 |  1000/ 4351 batches | rec loss 0.5241 | dis loss 0.5284 |
[2020-04-24 05:41:58]: | epoch   9 |  1200/ 4351 batches | rec loss 0.5580 | dis loss 0.4261 |
[2020-04-24 05:42:18]: | epoch   9 |  1400/ 4351 batches | rec loss 0.4840 | dis loss 0.3798 |
[2020-04-24 05:42:38]: | epoch   9 |  1600/ 4351 batches | rec loss 0.5299 | dis loss 0.4161 |
[2020-04-24 05:42:57]: | epoch   9 |  1800/ 4351 batches | rec loss 0.5314 | dis loss 0.4076 |
[2020-04-24 05:43:17]: | epoch   9 |  2000/ 4351 batches | rec loss 0.5760 | dis loss 0.5282 |
[2020-04-24 05:43:36]: | epoch   9 |  2200/ 4351 batches | rec loss 0.5222 | dis loss 0.4098 |
